Periode;Soort uitgaven;Algemene categorie;Specifieke categorie;College/Collegelid;Omschrijving;Bedrag
1-1-2014;Ontvangsten;Ontvangsten;Internationale projecten;;Kleine ad hoc activiteit;-954
1-1-2014;Ontvangsten;Ontvangsten;Overige ontvangsten;;Diversen;-700
1-1-2014;Personele uitgaven;Eigen personeel;Reis- en verblijfskosten;;Buitenlandse dienstreis IJsland;-678,3
1-1-2014;Personele uitgaven;Eigen personeel;Reis- en verblijfskosten;;OV abonnementen;-323,79
1-1-2014;Ontvangsten;Ontvangsten;Internationale projecten;;Kleine ad hoc activiteit;-256
1-1-2014;Materiele uitgaven;ICT;Spraak en Data verbindingen;;Vaste telefonie;-150,65
1-1-2014;Ontvangsten;Ontvangsten;Overige ontvangsten;;Diversen;-85,5
1-1-2014;Ontvangsten;Ontvangsten;Overige ontvangsten;;Diversen;-50
1-1-2014;Personele uitgaven;Eigen personeel;Reis- en verblijfskosten;;Buitenlandse dienstreis Brussel;-44,4
1-1-2014;Personele uitgaven;Eigen personeel;Reis- en verblijfskosten;;OV abonnementen;-0,01
1-1-2014;Materiele uitgaven;Diensten en middelen;Inrichting van gebouwen;;Diversen;8,16
1-1-2014;Materiele uitgaven;Diensten en middelen;Post-, koeriers- en transportdiensten;;Postvoorziening;11,3
1-1-2014;Materiele uitgaven;Communicatie;Evenementen en congresorganisatie;;Diversen;15,22
1-1-2014;Materiele uitgaven;Communicatie;Relatiegeschenken;;Aankoop relatiegeschenken;20
1-1-2014;Materiele uitgaven;Communicatie;Relatiegeschenken;;Diverse uitgaven;21,25
1-1-2014;Materiele uitgaven;ICT;Spraak en Data verbindingen;;Datalijnen;24,7
1-1-2014;Materiele uitgaven;Communicatie;Relatiegeschenken;;Aankoop relatiegeschenken;25,9
1-1-2014;Materiele uitgaven;Diensten en middelen;Schoonmaken;;Wassen en stomen;28,44
1-1-2014;Materiele uitgaven;Communicatie;Relatiegeschenken;;Boeket;30
1-1-2014;Materiele uitgaven;Communicatie;Vakliteratuur, abonnementen en overige informatie;;Boeken en abonnementen;30,6
1-1-2014;Materiele uitgaven;Diensten en middelen;Consumptieve diensten;;Consumpties op de werkplek;31
1-1-2014;Materiele uitgaven;Diensten en middelen;Consumptieve diensten;;Catering vergaderservice;31,6
1-1-2014;Materiele uitgaven;Diensten en middelen;Benodigdheden en hulpmiddelen;;Reprografie;36,3
1-1-2014;Personele uitgaven;Eigen personeel;Studie en opleiding;;Updatedag;39
1-1-2014;Materiele uitgaven;ICT;Spraak en Data verbindingen;;RTV abonnement;55,75
