;U I T G A V E N;;;;
Datum Boeking;Soort uitgaven ;Categorie ;Hoofdrubriek ;Omschrijving factuur ;Realisatie boeking 
02-11-16;Personele uitgaven;Eigen Personeel;Reis- en verblijfkosten;Buitenlandse dienstreis Portugal;330,19
02-11-16;Personele uitgaven;Eigen Personeel;Reis- en verblijfkosten;Buitenlandse dienstreis Portugal;330,19
02-11-16;Personele uitgaven;Eigen Personeel;Reis- en verblijfkosten;Buitenlandse dienstreis Slowakije;352,60
30-11-16;Personele uitgaven;Eigen Personeel;Reis- en verblijfkosten;Buitenlandse dienstreis Slowakije;391,30
17-11-16;Personele uitgaven;Eigen Personeel;Reis- en verblijfkosten;Buitenlandse dienstreis Indonesië;391,40
30-11-16;Personele uitgaven;Eigen Personeel;Reis- en verblijfkosten;Buitenlandse dienstreis Hongarije;399,47
09-11-16;Personele uitgaven;Eigen Personeel;Reis- en verblijfkosten;Buitenlandse dienstreis Tunesië;400,00
02-11-16;Personele uitgaven;Eigen Personeel;Reis- en verblijfkosten;Buitenlandse dienstreis Tsjechië;402,90
30-11-16;Personele uitgaven;Eigen Personeel;Reis- en verblijfkosten;Buitenlandse dienstreis Mexico;421,68
02-11-16;Personele uitgaven;Eigen Personeel;Reis- en verblijfkosten;Buitenlandse dienstreis Tunesië;507,72
02-11-16;Personele uitgaven;Eigen Personeel;Reis- en verblijfkosten;Buitenlandse dienstreis Tunesië;507,72
30-11-16;Personele uitgaven;Eigen Personeel;Reis- en verblijfkosten;Buitenlandse dienstreis Bosnië;512,83
30-11-16;Personele uitgaven;Eigen Personeel;Reis- en verblijfkosten;Buitenlandse dienstreis Zuid-Afrika;534,38
01-11-16;Personele uitgaven;Eigen Personeel;Reis- en verblijfkosten;Buitenlandse dienstreis Frankrijk;538,78
01-11-16;Personele uitgaven;Eigen Personeel;Reis- en verblijfkosten;Buitenlandse dienstreis Frankrijk;538,78
30-11-16;Personele uitgaven;Eigen Personeel;Reis- en verblijfkosten;Buitenlandse dienstreis Noorwegen;585,28
02-11-16;Personele uitgaven;Eigen Personeel;Reis- en verblijfkosten;Buitenlandse dienstreis Tunesië;600,00
02-11-16;Personele uitgaven;Eigen Personeel;Reis- en verblijfkosten;Buitenlandse dienstreis Portugal;605,28
02-11-16;Personele uitgaven;Eigen Personeel;Reis- en verblijfkosten;Buitenlandse dienstreis Portugal;605,28
09-11-16;Personele uitgaven;Eigen Personeel;Reis- en verblijfkosten;Buitenlandse dienstreis Tunesië;700,00
09-11-16;Personele uitgaven;Eigen Personeel;Reis- en verblijfkosten;Buitenlandse dienstreis Marokko;720,00
23-11-16;Personele uitgaven;Eigen Personeel;Reis- en verblijfkosten;Buitenlandse dienstreis Marokko;721,97
30-11-16;Personele uitgaven;Eigen Personeel;Reis- en verblijfkosten;Buitenlandse dienstreis Noorwegen ;820,33
30-11-16;Personele uitgaven;Eigen Personeel;Reis- en verblijfkosten;Buitenlandse dienstreis Engeland;845,66
23-11-16;Personele uitgaven;Eigen Personeel;Reis- en verblijfkosten;Vs.A Connel Hotelkn A Visser+F Giskes nov.2016;925,00
23-11-16;Personele uitgaven;Eigen Personeel;Reis- en verblijfkosten;Vs.A Connel Hotelkn A Visser+F Giskes nov.2016;925,00
30-11-16;Personele uitgaven;Eigen Personeel;Reis- en verblijfkosten;Buitenlandse dienstreis Gazastrook;951,22
30-11-16;Personele uitgaven;Eigen Personeel;Reis- en verblijfkosten;Buitenlandse dienstreis Gazastrook;952,02
30-11-16;Personele uitgaven;Eigen Personeel;Reis- en verblijfkosten;Buitenlandse dienstreis Kenia;1.304,68
30-11-16;Personele uitgaven;Eigen Personeel;Reis- en verblijfkosten;Buitenlandse dienstreis Engeland;1.606,06
30-11-16;Personele uitgaven;Eigen Personeel;Reis- en verblijfkosten;Buitenlandse dienstreis Engeland;1.613,89
30-11-16;Personele uitgaven;Eigen Personeel;Reis- en verblijfkosten;Buitenlandse dienstreis Engeland;1.642,92
14-11-16;Personele uitgaven;Eigen Personeel;Onkostenvergoedingen waaronder Woon-werkverkeer;woon-werk verkeer;48,45
02-11-16;Personele uitgaven;Eigen Personeel;Reis- en verblijfkosten;Binnenlandse reizen (Mobility mix);25.433,48
09-11-16;personele uitgaven;Eigen Personeel;Onkostenvergoedingen waaronder woon-werkverkeer;Onkostenvergoeding internetaansluiting;62,50
09-11-16;Personele uitgaven;Eigen Personeel;Representatie voor eigen personeel;Afdelingsdiner;32,50
18-11-16;Personele uitgaven;Eigen Personeel;Personeelsevenementen, - bijeenkomsten en recepties;Afscheidsetentje;159,50
02-11-16;Personele uitgaven;Eigen Personeel;Personeelsevenementen, - bijeenkomsten en recepties;Afscheidsborrel;1.246,40
03-11-16;Personele uitgaven;Eigen Personeel;Representatie voor eigen personeel;Teamdag;175,00
18-11-16;Personele uitgaven;Eigen Personeel;Representatie voor eigen personeel;Teamdag;228,20
10-11-16;Personele uitgaven;Eigen Personeel;Representatie voor eigen personeel;Directieuitje;588,30
23-11-16;Personele uitgaven;Eigen Personeel;Representatie voor eigen personeel;Afdelingsdiner;614,25
09-11-16;Personele uitgaven;Eigen Personeel;Personeelsevenementen, - bijeenkomsten en recepties;Personeelsvereniging;5.600,00
02-11-16;Personele uitgaven;Eigen Personeel;Noodzakelijke contributies van personeel ;Lidmaatschap;121,00
07-11-16;Personele uitgaven;Bijdrage SSO;Instroom, doorstroom en uitstroom van personeel;Vacatureplaatsing;4.078,39
15-11-16;Personele uitgaven;Eigen Personeel;Instroom, doorstroom en uitstroom van personeel;VOG;41,35
07-11-16;Personele uitgaven;Eigen Personeel;Arbeidsomstandigheden en personele zorg (incl. BHV middelen) ;Aanschaf computerbril;398,00
10-11-16;Personele uitgaven;Eigen Personeel;Arbeidsomstandigheden en personele zorg (incl. BHV middelen) ;Aanschaf computerbril;454,00
03-11-16;Personele uitgaven;Eigen Personeel;Arbeidsomstandigheden en personele zorg (incl. BHV middelen) ;Aanschaf computerbril;489,00
23-11-16;Personele uitgaven;Eigen Personeel;Arbeidsomstandigheden en personele zorg (incl. BHV middelen) ;Keuringen;2.589,27
18-11-16;Materiële uitgaven;Bijdrage SSO;Bijdrage SSO;Dienstverlening P-direct;9.813,79
07-11-16;Materiële uitgaven;Huisvesting;Verbruik van energie en water;Elektriciteit;238,37
15-11-16;Materiële uitgaven;Huisvesting;Verbruik van energie en water;Elektriciteit;352,50
09-11-16;Materiële uitgaven;Huisvesting;Verbruik van energie en water;Elektriciteit;1.467,31
18-11-16;Materiële uitgaven;Huisvesting;Verbruik van energie en water;Elektriciteit;6.005,42
23-11-16;Materiële uitgaven;Huisvesting;Gebruik en onderhoud gebouw en terreinen;onderhoud;102,85
18-11-16;Materiële uitgaven;Huisvesting;Gebruik en onderhoud gebouw en terreinen;onderhoud;145,20
21-11-16;Materiële uitgaven;Huisvesting;Gebruik en onderhoud gebouw en terreinen;onderhoud;186,34
23-11-16;Materiële uitgaven;Huisvesting;Gebruik en onderhoud gebouw en terreinen;onderhoud;254,10
02-11-16;Materiële uitgaven;Huisvesting;Gebruik en onderhoud gebouw en terreinen;onderhoud;452,62
18-11-16;Materiële uitgaven;Huisvesting;Gebruik en onderhoud gebouw en terreinen;onderhoud;934,73
17-11-16;Materiële uitgaven;Huisvesting;Gebruik en onderhoud gebouw en terreinen;onderhoud;1.220,08
02-11-16;Materiële uitgaven;Huisvesting;Gebruik en onderhoud gebouw en terreinen;onderhoud;3.064,78
09-11-16;Materiële uitgaven;Huisvesting;Gebruik en onderhoud gebouw en terreinen;onderhoud;4.327,70
09-11-16;Materiële uitgaven;Huisvesting;Gebruik en onderhoud gebouw en terreinen;onderhoud;9.433,44
23-11-16;Materiële uitgaven;Diensten en middelen;Afvalzorgmanagement;Afvalverwerking;18,11
02-11-16;Materiële uitgaven;Diensten en middelen;Afvalzorgmanagement;Afvalverwerking;36,24
02-11-16;Materiële uitgaven;uitbesteding;Schoonmaken;Schoonmaakkosten;112,29
10-11-16;Materiële uitgaven;uitbesteding;Schoonmaken;Schoonmaakkosten;126,32
08-11-16;Materiële uitgaven;Diensten en middelen;Schoonmaken;Schoonmaakkosten;517,77
15-11-16;Materiële uitgaven;Huisvesting;Afvalzorgmanagement;Afvalverwerking;521,27
02-11-16;Materiële uitgaven;Huisvesting;Schoonmaken;Schoonmaakkosten;1.336,94
02-11-16;Materiële uitgaven;Diensten en middelen;Schoonmaken;Schoonmaakkosten;2.260,26
15-11-16;Materiële uitgaven;Diensten en middelen;Afvalzorgmanagement;Afvalverwerking;3.145,75
23-11-16;Materiële uitgaven;uitbesteding;Schoonmaken;Schoonmaakkosten;7.964,81
02-11-16;Materiële uitgaven;uitbesteding;Schoonmaken;Schoonmaakkosten;7.964,81
02-11-16;Materiële uitgaven;Diensten en middelen;Risicobeheersen;Beveiliging;2.246,61
02-11-16;Materiële uitgaven;Diensten en middelen;Risicobeheersen;Beveiliging;3.257,04
10-11-16;Materiële uitgaven;Bijdrage SSO;Bijdrage SSO;Dienstverlening BZK;6.155,31
09-11-16;Materiële uitgaven;Diensten en middelen;Post-, Koeriers- en transportdiensten;Koerierkosten;54,40
07-11-16;Materiële uitgaven;Inbesteding opdrachten;Post-, Koeriers- en transportdiensten;Koerierkosten;72,33
09-11-16;Materiële uitgaven;Diensten en middelen;Post-, Koeriers- en transportdiensten;Koerierkosten;257,09
10-11-16;Materiële uitgaven;Diensten en middelen;Post-, Koeriers- en transportdiensten;Koerierkosten;367,80
07-11-16;Materiële uitgaven;Inbesteding opdrachten;Post-, Koeriers- en transportdiensten;Koerierkosten;439,78
01-11-16;Materiële uitgaven;Communicatie;Diversen communicatie;Werkzaamheden brief;254,10
23-11-16;Materiële uitgaven;Communicatie;Diversen communicatie;Rapportomslag;294,03
09-11-16;Materiële uitgaven;Communicatie;Diversen communicatie;Rapportomslag;294,03
23-11-16;Materiële uitgaven;Communicatie;Diversen communicatie;Rapportomslag;296,45
01-11-16;Materiële uitgaven;Communicatie;Diversen communicatie;Rapportomslag;296,45
15-11-16;Materiële uitgaven;Communicatie;Diversen communicatie;Werkzaamheden rapport;296,45
02-11-16;Materiële uitgaven;Communicatie;Diversen communicatie;Werkzaamheden rapport;423,50
02-11-16;Materiële uitgaven;Diensten en middelen;Diversen communicatie;Werkzaamheden rapport;508,20
02-11-16;Materiële uitgaven;Diensten en middelen;Diversen communicatie;Werkzaamheden logo Sportdag;508,20
01-11-16;Materiële uitgaven;Communicatie;Diversen communicatie;Rapportomslag;623,15
01-11-16;Materiële uitgaven;Diensten en middelen;Diversen communicatie;Werkzaamheden rapport;931,70
02-11-16;Materiële uitgaven;Communicatie;Diversen communicatie;Werkzaamheden intern bedrijfsblad;47,19
15-11-16;Materiële uitgaven;Communicatie;Diversen communicatie;Werkzaamheden intern bedrijfsblad;105,27
01-11-16;Materiële uitgaven;Diensten en middelen;Diversen communicatie;Werkzaamheden rapport;249,16
01-11-16;Materiële uitgaven;Communicatie;Diversen communicatie;Werkzaamheden interne brief;1.323,14
01-11-16;Materiële uitgaven;Communicatie;Diversen communicatie;Werkzaamheden rapport;1.940,24
18-11-16;Materiële uitgaven;Diensten en middelen;Benodigdheden en hulpmiddelen;Visitekaartjes;15,71
30-11-16;Materiële uitgaven;Diensten en middelen;Benodigdheden en hulpmiddelen;kantoorbenodigdheden;85,50
15-11-16;Materiële uitgaven;Diensten en middelen;Benodigdheden en hulpmiddelen;kantoorbenodigdheden;91,05
09-11-16;Personele uitgaven;Eigen Personeel;Representatie voor eigen personeel;Legpenning;105,88
03-11-16;Personele uitgaven;Eigen Personeel;Representatie voor eigen personeel;legpenning;105,88
15-11-16;Materiële uitgaven;Diensten en middelen;Benodigdheden en hulpmiddelen;Visitekaartjes;109,94
07-11-16;Materiële uitgaven;Diensten en middelen;Benodigdheden en hulpmiddelen;kantoorbenodigdheden;115,70
07-11-16;Materiële uitgaven;Diensten en middelen;Benodigdheden en hulpmiddelen;kantoorbenodigdheden;150,67
01-11-16;Materiële uitgaven;Diensten en middelen;Benodigdheden en hulpmiddelen;kantoorbenodigdheden;349,54
02-11-16;Materiële uitgaven;Diensten en middelen;Benodigdheden en hulpmiddelen;kantoorbenodigdheden;259,87
01-11-16;Materiële uitgaven;Diensten en middelen;Beheer en onderhoud hardware;onderhoud kopieerapparaat;444,89
03-11-16;Personele uitgaven;Eigen Personeel;studie en opleiding;Studieboeken;25,45
17-11-16;Materiële uitgaven;Communicatie;Vakliteratuur, abonnementen en overige informatie;Aanschaf boeken;27,56
21-11-16;Materiële uitgaven;Diensten en middelen;Vakliteratuur, abonnementen en overige informatie;Aanschaf boeken;660,00
03-11-16;Materiële uitgaven;Diensten en middelen;Vakliteratuur, abonnementen en overige informatie;Aanschaf boeken;2.474,23
02-11-16;Materiële uitgaven;Diensten en middelen;Vakliteratuur, abonnementen en overige informatie;Aanschaf boeken;4.101,02
02-11-16;Materiële uitgaven;Inbesteding opdrachten;Vakliteratuur, abonnementen en overige informatie;News Portal;2,80
02-11-16;Materiële uitgaven;Communicatie;Vakliteratuur, abonnementen en overige informatie;News Portal;183,32
02-11-16;Materiële uitgaven;Communicatie;Vakliteratuur, abonnementen en overige informatie;News Portal;1.535,68
18-11-16;Materiële uitgaven;uitbesteding;Spraak- en dataverbindingen;Telefoonkosten;36,30
09-11-16;Materiële uitgaven;uitbesteding;Spraak- en dataverbindingen;Telefoonkosten;81,13
14-11-16;Materiële uitgaven;uitbesteding;Spraak- en dataverbindingen;Telefoonkosten;126,76
09-11-16;Materiële uitgaven;uitbesteding;Spraak- en dataverbindingen;Telefoonkosten;756,70
09-11-16;Materiële uitgaven;uitbesteding;Spraak- en dataverbindingen;Telefoonkosten;1.132,88
14-11-16;Materiële uitgaven;uitbesteding;Spraak- en dataverbindingen;Telefoonkosten;1.691,51
09-11-16;Materiële uitgaven;uitbesteding;Spraak- en dataverbindingen;Telefoonkosten;1.755,71
01-11-16;Materiële uitgaven;Diensten en middelen;Diversen communicatie;websites;363,00
09-11-16;Materiële uitgaven;ICT;Beheer, onderhoud programmatuur en software;Software;589,28
01-11-16;Materiële uitgaven;Diensten en middelen;Diversen communicatie;websites;726,00
01-11-16;Materiële uitgaven;ICT;Beheer en onderhoud hardware;Onderhoud glasvezel;1.181,87
01-11-16;Materiële uitgaven;uitbesteding;Inbesteding opdrachten;Dienstverlening BZK;1.398,96
03-11-16;Materiële uitgaven;Inbesteding opdrachten;Inbesteding opdrachten;Samenwerking Tweede Kamer;1.573,61
02-11-16;Materiële uitgaven;uitbesteding;Aan externe partij uitbestede ICT-dienstverlening;Cloudserver;1.678,63
01-11-16;Materiële uitgaven;uitbesteding;Aan externe partij uitbestede ICT-dienstverlening;Cloudserver;1.678,68
01-11-16;Materiële uitgaven;ICT;Aanschaf programmatuur en software;Licensies;1.862,75
01-11-16;Materiële uitgaven;uitbesteding;Aanschaf programmatuur en software;Licensies;2.006,42
01-11-16;Materiële uitgaven;uitbesteding;Beheer en onderhoud hardware;Beheer en onderhoud;2.722,50
09-11-16;Materiële uitgaven;ICT;Aanschaf programmatuur en software;Licensies;5.445,00
01-11-16;Materiële uitgaven;ICT;Beheer, onderhoud programmatuur en software;Software;6.300,56
01-11-16;Materiële uitgaven;uitbesteding;Beheer, onderhoud programmatuur en software;Onderhoud CMS;48.362,05
10-11-16;Materiële uitgaven;bijdrage SSO;Beheer en onderhoud hardware;Onderhoud serverruimte;50.000,00
01-11-16;Materiële uitgaven;Diensten en middelen;relatiegeschenken (niet voor eigen personeel);relatiegeschenk vanuit OR;17,50
23-11-16;Materiële uitgaven;Diensten en middelen;relatiegeschenken (niet voor eigen personeel);Terugkomdag Internationale Kiesgoep;97,80
23-11-16;Materiële uitgaven;Diensten en middelen;relatiegeschenken (niet voor eigen personeel);Relatiegeschenk;104,15
10-11-16;Materiële uitgaven;Diensten en middelen;relatiegeschenken (niet voor eigen personeel);Borrel internationale delegatie;158,05
03-11-16;Materiële uitgaven;Diensten en middelen;relatiegeschenken (niet voor eigen personeel);Dagtocht internationale delegatie;221,00
02-11-16;Materiële uitgaven;Diensten en middelen;relatiegeschenken (niet voor eigen personeel);Diner internationale delegatie;528,20
14-11-16;Materiële uitgaven;Diensten en middelen;relatiegeschenken (niet voor eigen personeel);Diner internationale delegatie;848,24
02-11-16;Materiële uitgaven;Vervoer- en verblijfkosten;Verblijf extern;Externe accommodatie;1.218,47
09-11-16;Materiële uitgaven;Communicatie;Vakliteratuur, abonnementen en overige informatie;Televisieabonnement;19,70
15-11-16;Personele uitgaven;Eigen Personeel;Reis- en verblijfkosten;Reisverzekering;462,14
23-11-16;Personele uitgaven;Eigen Personeel;Representatie voor eigen personeel;VVV bonnen medewerkers;12,20
02-11-16;Personele uitgaven;Eigen Personeel;Representatie voor eigen personeel;VVV bonnen medewerkers;12,20
01-11-16;Personele uitgaven;Eigen Personeel;Reis- en verblijfkosten;hotelkosten;256,60
02-11-16;Personele uitgaven;Eigen Personeel;Representatie voor eigen personeel;Restaurantnota;8,86
02-11-16;Personele uitgaven;Eigen Personeel;Representatie voor eigen personeel;Restaurantnota;21,63
02-11-16;Materiële uitgaven;Diensten en middelen;Consumptieve diensten ;Catering;24,52
01-11-16;Materiële uitgaven;Diensten en middelen;Consumptieve diensten ;Catering;28,01
02-11-16;Materiële uitgaven;Diensten en middelen;Consumptieve diensten ;Catering;41,75
02-11-16;Materiële uitgaven;Diensten en middelen;Consumptieve diensten ;Catering;65,60
02-11-16;Materiële uitgaven;Diensten en middelen;Consumptieve diensten ;Catering;82,50
02-11-16;Materiële uitgaven;Diensten en middelen;Consumptieve diensten ;Catering;154,39
02-11-16;Materiële uitgaven;Diensten en middelen;Consumptieve diensten ;Catering;209,12
02-11-16;Materiële uitgaven;Diensten en middelen;Consumptieve diensten ;Catering;382,38
02-11-16;Materiële uitgaven;Diensten en middelen;Consumptieve diensten ;Catering;972,12
02-11-16;Materiële uitgaven;Diensten en middelen;Consumptieve diensten ;Catering;1.707,50
02-11-16;Materiële uitgaven;Diensten en middelen;Consumptieve diensten ;Catering;1.776,95
02-11-16;Materiële uitgaven;Diensten en middelen;Consumptieve diensten ;Catering;1.814,17
02-11-16;Materiële uitgaven;Diensten en middelen;Consumptieve diensten;Machinekosten en ingredienten;1.508,76
09-11-16;Materiële uitgaven;Diensten en middelen;Consumptieve diensten;Machinekosten en ingredienten;2.910,20
15-11-16;Materiële uitgaven;Diensten en middelen;Consumptieve diensten ;Catering;6.202,55
16-11-16;Materiële uitgaven;Communicatie;Vertaaldiensten;Vertaalkosten;323,07
09-11-16;Materiële uitgaven;Diensten en middelen;Inrichting van Gebouwen;meubel;79,95
02-11-16;Materiële uitgaven;Diensten en middelen;Inrichting van Gebouwen;Bloemstukken;95,50
09-11-16;Materiële uitgaven;Diensten en middelen;Inrichting van Gebouwen;Bloemstukken;375,00
21-11-16;Materiële uitgaven;Diensten en middelen;Inrichting van Gebouwen;Bloemstukken;4.604,05
01-11-16;Materiële uitgaven;uitbesteding;;hardware;10.136,90
14-11-16;Materiële uitgaven;ICT;Aanschaf Hardware ;aanschaf PC's ;73.415,54
30-11-16;Materiële uitgaven;Inbesteding opdrachten;;Dienstverlening BZK;363,02
03-11-16;Materiële uitgaven;uitbesteding;Aan externe partij uitbestede ICT-dienstverlening;Software;388,41
27-12-16;Materiële uitgaven;uitbesteding;Spraak- en dataverbindingen;Creditnota telefoon;-4.707,11
29-12-16;personele uitgaven;Eigen Personeel;Studie en opleiding;Creditnota cursus;-3.850,00
29-12-16;personele uitgaven;Eigen Personeel;Studie en opleiding;Creditnota cursus;-3.850,00
14-12-16;personele uitgaven;Eigen Personeel;Bovenwettelijke uitkering, wachtgelden;Uitkeringen;-2.182,80
27-12-16;Ontvangsten;ontvangsten;personele ontvangsten;Tegemoetkoming detachering;-1.906,86
1-12-16;Materiële uitgaven;Communicatie;Diversen communicatie;Annulering rapportopmaak;-988,00
21-12-16;Ontvangsten;ontvangsten;Internationale projecten;Buitenlandse dienstreis Abu Dhabi;-925,00
27-12-16;Ontvangsten;ontvangsten;Internationale projecten;Buitenlandse dienstreist Marokko;-720,00
27-12-16;Ontvangsten;ontvangsten;Internationale projecten;Buitenlandse dienstreis Tunesië;-700,00
28-12-16;Ontvangsten;ontvangsten;Internationale projecten;Buitenlandse dienstreis Tunesië;-600,00
31-12-16;Materiële uitgaven;uitbesteding;Beheer en onderhoud hardware;Creditnota Kopieermachine;-484,00
31-12-16;Materiële uitgaven;Communicatie;Vakliteratuur, abonnementen en overige informatie;Creditnota Aanschaf boeken;-450,00
27-12-16;Ontvangsten;ontvangsten;Internationale projecten;Buitenlandse dienstreis Tunesië;-400,00
27-12-16;Personele uitgaven;Eigen Personeel;Onkostenvergoedingen waaronder Woon-werkverkeer;Creditnota woon-werkverkeer;-253,04
19-12-16;personele uitgaven;Eigen Personeel;Onkostenvergoedingen waaronder woon-werkverkeer;Creditnota Onkostenvergoeding internetaansluiting;-240,00
1-12-16;personele uitgaven;Eigen Personeel;Studie en opleiding;Creditnota studiereiskosten;-154,20
1-12-16;Materiële uitgaven;Communicatie;Vakliteratuur, abonnementen en overige informatie;Creditnota Aanschaf boeken;-144,66
7-12-16;Ontvangsten;ontvangsten;Internationale projecten;Buitenlandse dienstreis Tunesië;-130,00
12-12-16;Materiële uitgaven;bijdrage sso;Post-, Koeriers- en transportdiensten;Creditnota Koerierkosten;-127,16
21-12-16;personele uitgaven;Eigen Personeel;Reis- en verblijfkosten;Creditnota buitenlandse dienstreis;-125,57
1-12-16;Materiële uitgaven;uitbesteding;Afvalzorgmanagement;Creditnota Afvalverwerking;-109,28
27-12-16;Materiële uitgaven;uitbesteding;Inrichting van Gebouwen;Creditnota aanschaf meubel;-79,95
1-12-16;Ontvangsten;ontvangsten;Internationale projecten;Workshop Kiesgroeplanden;-70,30
8-12-16;Materiële uitgaven;Diensten en middelen;Beheer en onderhoud hardware;Creditnota onderhoud kopieerapparaat;-53,24
1-12-16;personele uitgaven;Eigen Personeel;Representatie voor eigen personeel;Creditnota personeelscadeau;-40,00
23-12-16;personele uitgaven;Eigen Personeel;Representatie voor eigen personeel;retour vvv bon;-25,00
14-12-16;Materiële uitgaven;Diensten en middelen;relatiegeschenken (niet voor eigen personeel);Internationale delegatie;3,45
30-12-16;personele uitgaven;Eigen Personeel;Salaris, vakantie- en eindejaarsuitkering;Bruto salaris december 2016;1.589.956,14
30-12-16;Personele uitgaven;Eigen Personeel;Gratificaties;Gratificaties december 2016;22.628,68
23-12-16;Personele uitgaven;Eigen Personeel;Representatie voor eigen personeel;VVV bonnen medewerkers;100,00
23-12-16;Personele uitgaven;Eigen Personeel;Representatie voor eigen personeel;VVV bonnen medewerkers;150,00
23-12-16;Personele uitgaven;Eigen Personeel;Representatie voor eigen personeel;VVV bonnen medewerkers;200,00
23-12-16;Personele uitgaven;Eigen Personeel;Representatie voor eigen personeel;VVV bonnen medewerkers;250,00
23-12-16;Personele uitgaven;Eigen Personeel;Representatie voor eigen personeel;VVV bonnen medewerkers;250,00
23-12-16;Personele uitgaven;Eigen Personeel;Representatie voor eigen personeel;VVV bonnen medewerkers;250,00
23-12-16;Personele uitgaven;Eigen Personeel;Representatie voor eigen personeel;VVV bonnen medewerkers;300,00
23-12-16;Personele uitgaven;Eigen Personeel;Representatie voor eigen personeel;VVV bonnen medewerkers;400,00
23-12-16;Personele uitgaven;Eigen Personeel;Representatie voor eigen personeel;VVV bonnen medewerkers;1.000,00
23-12-16;Personele uitgaven;Eigen Personeel;Representatie voor eigen personeel;VVV bonnen medewerkers;1.750,00
8-12-16;personele uitgaven;eigen Personeel;Representatie voor eigen personeel;Cadeaubonnen;18.150,00
1-12-16;Personele uitgaven;Postactieven;Bovenwettelijke uitkering, wachtgelden;Wachtgelden;18,15
1-12-16;Personele uitgaven;Postactieven;Bovenwettelijke uitkering, wachtgelden;Wachtgelden;6.656,29
21-12-16;Personele uitgaven;Postactieven;Bovenwettelijke uitkering, wachtgelden;Wachtgelden;6.852,97
1-12-16;personele uitgaven;Eigen Personeel;Bovenwettelijke uitkering, wachtgelden;Uitkeringen;1.368,64
8-12-16;personele uitgaven;Eigen Personeel;Bovenwettelijke uitkering, wachtgelden;Uitkeringen;1.368,84
21-12-16;personele uitgaven;Eigen Personeel;Bovenwettelijke uitkering, wachtgelden;Uitkeringen;1.368,84
28-12-16;Personele uitgaven;Externe Inhuur;Uitzendkrachten;inhuur uitzendkracht;448,43
1-12-16;Personele uitgaven;Externe Inhuur;Uitzendkrachten;inhuur uitzendkracht;790,61
1-12-16;Personele uitgaven;Externe Inhuur;Uitzendkrachten;inhuur uitzendkracht;881,79
27-12-16;Personele uitgaven;Externe Inhuur;Uitzendkrachten;inhuur uitzendkracht;881,79
14-12-16;Personele uitgaven;Externe Inhuur;Uitzendkrachten;inhuur uitzendkracht;896,77
7-12-16;Personele uitgaven;Externe Inhuur;Uitzendkrachten;inhuur uitzendkracht;896,77
21-12-16;Personele uitgaven;Externe Inhuur;Uitzendkrachten;inhuur uitzendkracht;896,77
1-12-16;Personele uitgaven;Externe Inhuur;Uitzendkrachten;inhuur uitzendkracht;913,07
7-12-16;Personele uitgaven;Externe Inhuur;Uitzendkrachten;inhuur uitzendkracht;929,89
12-12-16;Personele uitgaven;Externe Inhuur;Uitzendkrachten;inhuur uitzendkracht;961,95
21-12-16;Personele uitgaven;Externe Inhuur;Uitzendkrachten;inhuur uitzendkracht;961,95
28-12-16;Personele uitgaven;Externe Inhuur;Uitzendkrachten;inhuur uitzendkracht;1.047,91
28-12-16;Personele uitgaven;Externe Inhuur;Uitzendkrachten;inhuur uitzendkracht;1.059,81
7-12-16;Personele uitgaven;Externe Inhuur;Uitzendkrachten;inhuur uitzendkracht;1.083,39
28-12-16;Personele uitgaven;Externe Inhuur;Uitzendkrachten;inhuur uitzendkracht;1.083,39
14-12-16;Personele uitgaven;Externe Inhuur;Uitzendkrachten;inhuur uitzendkracht;1.083,39
21-12-16;Personele uitgaven;Externe Inhuur;Uitzendkrachten;inhuur uitzendkracht;1.100,31
1-12-16;Personele uitgaven;Externe Inhuur;Uitzendkrachten;inhuur uitzendkracht;1.235,73
7-12-16;Personele uitgaven;Externe Inhuur;Uitzendkrachten;inhuur uitzendkracht;1.256,46
21-12-16;Personele uitgaven;Externe Inhuur;Uitzendkrachten;inhuur uitzendkracht;1.413,09
1-12-16;Personele uitgaven;Externe Inhuur;Uitzendkrachten;inhuur uitzendkracht;1.413,09
7-12-16;Personele uitgaven;Externe Inhuur;Uitzendkrachten;inhuur uitzendkracht;1.413,09
28-12-16;Personele uitgaven;Externe Inhuur;Uitzendkrachten;inhuur uitzendkracht;1.413,09
14-12-16;Personele uitgaven;Externe Inhuur;Uitzendkrachten;inhuur uitzendkracht;1.413,09
7-12-16;Personele uitgaven;Externe Inhuur;Uitzendkrachten;inhuur uitzendkracht;1.497,01
27-12-16;Personele uitgaven;Externe Inhuur;Uitzendkrachten;inhuur uitzendkracht;2.994,02
1-12-16;Personele uitgaven;Externe Inhuur;Uitzendkrachten;inhuur uitzendkracht;4.091,01
12-12-16;Personele uitgaven;Externe Inhuur;Accountancy, financiën en administratieve organisatie;Inhuur IT-expertise;40,16
15-12-16;Personele uitgaven;Externe Inhuur;Accountancy, financiën en administratieve organisatie;Inhuur inkoopadvies;50,20
1-12-16;Personele uitgaven;Eigen Personeel;Studie en opleiding;Workshop;90,30
1-12-16;Materiële uitgaven;Diensten en middelen;Vertaaldiensten;Vertaalkosten;105,00
14-12-16;Materiële uitgaven;Communicatie;Diversen communicatie;Bijdrage rapport;147,02
1-12-16;Personele uitgaven;Eigen Personeel;Studie en opleiding;Workshop Kiesgroeplanden;148,00
