;U I T G A V E N;;;;
Datum Boeking;Soort uitgaven ;Categorie ;Hoofdrubriek ;Omschrijving factuur ;Realisatie boeking 
31-1-16;Personele uitgaven;Eigen Personeel;Representatie Eigen Personeel;Oliebollen dec. 2015;460,00
1-1-16;Materiële uitgaven;Diensten en middelen;Consumptieve diensten;Catering ARK ;382,02
1-1-16;Materiële uitgaven;Diensten en middelen;Consumptieve diensten;Catering ARK ;27,58
1-1-16;Materiële uitgaven;Diensten en middelen;Consumptieve diensten;Catering ARK ;155,90
1-1-16;Materiële uitgaven;Diensten en middelen;Consumptieve diensten;Catering ARK ;44,99
1-1-16;Materiële uitgaven;Diensten en middelen;Consumptieve diensten;Catering ARK ;27,18
1-1-16;Materiële uitgaven;Diensten en middelen;Consumptieve diensten;Catering ARK ;324,00
1-1-16;Materiële uitgaven;Diensten en middelen;Consumptieve diensten;Catering ARK ;353,35
1-1-16;Materiële uitgaven;Diensten en middelen;Consumptieve diensten;Catering ARK ;70,98
1-1-16;Materiële uitgaven;Diensten en middelen;Consumptieve diensten;Catering ARK ;699,85
1-1-16;Materiële uitgaven;Diensten en middelen;Consumptieve diensten;Catering ARK ;540,73
1-1-16;Materiële uitgaven;Diensten en middelen;Consumptieve diensten;Catering ARK ;54,36
1-1-16;Materiële uitgaven;Diensten en middelen;Consumptieve diensten;Catering ARK ;79,81
1-1-16;Materiële uitgaven;Diensten en middelen;Consumptieve diensten;Catering ARK ;243,15
1-1-16;Materiële uitgaven;Diensten en middelen;Consumptieve diensten;Catering ARK ;249,36
1-1-16;Materiële uitgaven;Diensten en middelen;Consumptieve diensten;Catering ARK ;526,13
11-1-16;Materiële uitgaven;Diensten en middelen;Consumptieve diensten;Catering;16,00
21-1-16;Materiële uitgaven;Diensten en middelen;Consumptieve diensten;Catering;2.405,57
1-1-16;Materiële uitgaven;Communicatie;Vertaaldiensten;Vertaling;60,50
21-1-16;Materiële uitgaven;Communicatie;Vertaaldiensten;Vertaling;842,16
11-1-16;Materiële uitgaven;uitbesteding;Aanschaf hardware;Hardware;13,47
31-1-16;Ontvangsten;Ontvangsten;Personele ontvangsten;Inkomsten detachering;-67.642,28
31-1-16;Ontvangsten;Ontvangsten;Internationale projecten;OECD;-960,00
31-1-16;Ontvangsten;Ontvangsten;Internationale projecten;Taskforce banking union conference;-135,00
1-2-16;Personele uitgaven;Eigen Personeel;Toelagen, toeslagen en vergoedingen;Nabestaanden Lijfrente;8,19
1-2-16;Personele uitgaven;Eigen Personeel;Toelagen, toeslagen en vergoedingen;Nabestaanden Lijfrente;8,37
1-2-16;Personele uitgaven;Eigen Personeel;Toelagen, toeslagen en vergoedingen;Nabestaanden Lijfrente;20,00
1-2-16;Personele uitgaven;Eigen Personeel;Toelagen, toeslagen en vergoedingen;Nabestaanden Lijfrente;20,00
29-2-16;Personele uitgaven;Eigen Personeel;Salaris, vakantie- en eindejaarsuitkering;Bruto salaris februari;1.630.902,45
29-2-16;Personele uitgaven;Eigen Personeel;Gratificaties;Gratificaties februari;6.410,29
3-2-16;Personele uitgaven;Postactieven;Bovenwettelijke uitkering, wachtgelden;Wachtgelden;5.481,71
24-2-16;Personele uitgaven;Eigen Personeel;Bovenwettelijke uitkering, wachtgelden;Creditnota Uitkeringen;-4.740,57
19-2-16;Personele uitgaven;Eigen Personeel;Bovenwettelijke uitkering, wachtgelden;corr UWV uitk 2015;9.090,49
4-2-16;Personele uitgaven;Externe Inhuur;uitzendkrachten;Secretarieel/facilitair medewerker;381,86
24-2-16;Personele uitgaven;Externe Inhuur;uitzendkrachten;Secretarieel/facilitair medewerker;524,09
17-2-16;Personele uitgaven;Externe Inhuur;uitzendkrachten;Secretarieel/facilitair medewerker;698,78
10-2-16;Personele uitgaven;Externe Inhuur;uitzendkrachten;Secretarieel/facilitair medewerker;873,47
8-2-16;Personele uitgaven;Externe Inhuur;uitzendkrachten;Secretarieel/facilitair medewerker;909,53
4-2-16;Personele uitgaven;Externe Inhuur;uitzendkrachten;Secretarieel/facilitair medewerker;1.007,69
4-2-16;Personele uitgaven;Externe Inhuur;uitzendkrachten;Secretarieel/facilitair medewerker;1.087,86
3-2-16;Personele uitgaven;Externe Inhuur;uitzendkrachten;Secretarieel/facilitair medewerker;1.372,94
15-2-16;Personele uitgaven;Externe Inhuur;uitzendkrachten;Secretarieel/facilitair medewerker;1.405,40
3-2-16;Personele uitgaven;Externe Inhuur;uitzendkrachten;Secretarieel/facilitair medewerker;1.502,80
17-2-16;Personele uitgaven;Externe Inhuur;uitzendkrachten;Secretarieel/facilitair medewerker;2.777,20
3-2-16;Personele uitgaven;Externe Inhuur;uitzendkrachten;Secretarieel/facilitair medewerker;4.152,72
4-2-16;Materiële uitgaven;uitbesteding;Beheer, onderhoud programmatuur en software;inhuur ICT;249,56
8-2-16;Personele uitgaven;Externe Inhuur;Accountancy, financiën en administratieve organisatie;Inhuur Inkoopadvies;387,20
1-2-16;Personele uitgaven;Externe Inhuur;Advisering opdrachtgevers over automatiseringsvraagstukken;Inhuur ICT-advies;1.161,60
3-2-16;Materiële uitgaven;uitbesteding;Aan externe partij uitbestede ICT-dienstverlening;Inhuur ICT advies;1.651,65
3-2-16;Materiële uitgaven;uitbesteding;Aan externe partij uitbestede ICT-dienstverlening;Inhuur ICT advies;1.663,75
1-2-16;Materiële uitgaven;uitbesteding;Aan externe partij uitbestede ICT-dienstverlening;Inhuur ICT advies;2.424,84
